,postId,Score,userId,ViewCount,CommentCount,Reputation,Views,UpVotes,DownVotes,outlier_col
0,1,23,8,1278,1,6764,1089,604,25,Score
1,16,16,8,0,3,6764,1089,604,25,Score
2,36,41,8,67396,7,6764,1089,604,25,Score
3,65,14,8,0,3,6764,1089,604,25,Score
4,78,33,8,0,4,6764,1089,604,25,Score
5,111,8,8,0,3,6764,1089,604,25,Score
6,114,30,8,1220,1,6764,1089,604,25,Score
9,168,17,8,1022,1,6764,1089,604,25,Score
10,170,56,8,7733,1,6764,1089,604,25,Score
12,262,13,8,0,7,6764,1089,604,25,Score
13,271,7,8,0,0,6764,1089,604,25,Score
19,432,96,8,0,1,6764,1089,604,25,Score
27,1010,8,8,0,0,6764,1089,604,25,Score
30,1173,13,8,1765,5,6764,1089,604,25,Score
32,1185,20,8,0,3,6764,1089,604,25,Score
35,1251,15,8,0,4,6764,1089,604,25,Score
36,1291,11,8,0,5,6764,1089,604,25,Score
40,1496,11,8,0,0,6764,1089,604,25,Score
41,1529,8,8,498,2,6764,1089,604,25,Score
42,1537,7,8,0,3,6764,1089,604,25,Score
45,1598,40,8,0,4,6764,1089,604,25,Score
50,1741,15,8,0,0,6764,1089,604,25,Score
54,1816,7,8,0,5,6764,1089,604,25,Score
56,1842,10,8,0,4,6764,1089,604,25,Score
58,1993,7,8,0,0,6764,1089,604,25,Score
59,2348,15,8,795,4,6764,1089,604,25,Score
68,3108,9,8,0,4,6764,1089,604,25,Score
69,3138,18,8,0,0,6764,1089,604,25,Score
75,3405,14,8,0,6,6764,1089,604,25,Score
77,3460,29,8,1068,0,6764,1089,604,25,Score
78,3527,14,8,0,1,6764,1089,604,25,Score
79,3532,12,8,422,0,6764,1089,604,25,Score
80,3555,30,8,0,4,6764,1089,604,25,Score
82,3814,73,8,4526,2,6764,1089,604,25,Score
83,3880,8,8,0,1,6764,1089,604,25,Score
87,4311,7,8,0,6,6764,1089,604,25,Score
91,5184,12,8,1575,3,6764,1089,604,25,Score
93,5600,11,8,0,2,6764,1089,604,25,Score
94,6221,7,8,0,4,6764,1089,604,25,Score
107,12185,7,8,0,1,6764,1089,604,25,Score
109,12394,8,8,0,2,6764,1089,604,25,Score
110,12396,8,8,0,2,6764,1089,604,25,Score
114,13455,7,8,0,4,6764,1089,604,25,Score
115,15676,12,8,0,1,6764,1089,604,25,Score
120,37982,11,8,0,2,6764,1089,604,25,Score
121,2,22,24,8198,1,344,48,36,1,Score
122,10,23,24,21925,4,344,48,36,1,Score
123,348,-4,24,0,2,344,48,36,1,Score
124,3,54,18,3613,4,128,8,16,0,Score
126,4,13,23,5224,2,308,52,34,1,Score
127,5,81,23,0,3,308,52,34,1,Score
128,13,14,23,0,4,308,52,34,1,Score
129,6,152,5,29229,5,6792,1145,662,5,Score
130,12,20,5,0,1,6792,1145,662,5,Score
131,32,12,5,0,0,6792,1145,662,5,Score
134,76,22,5,0,3,6792,1145,662,5,Score
137,103,28,5,1990,6,6792,1145,662,5,Score
138,108,14,5,0,1,6792,1145,662,5,Score
139,125,75,5,29261,2,6792,1145,662,5,Score
140,126,26,5,0,4,6792,1145,662,5,Score
141,131,23,5,0,0,6792,1145,662,5,Score
142,139,21,5,0,2,6792,1145,662,5,Score
143,197,9,5,0,1,6792,1145,662,5,Score
146,299,8,5,0,0,6792,1145,662,5,Score
147,306,8,5,0,2,6792,1145,662,5,Score
148,314,11,5,0,1,6792,1145,662,5,Score
149,329,11,5,0,0,6792,1145,662,5,Score
150,398,14,5,0,1,6792,1145,662,5,Score
151,423,156,5,64481,7,6792,1145,662,5,Score
152,433,40,5,0,0,6792,1145,662,5,Score
154,550,11,5,0,0,6792,1145,662,5,Score
155,560,9,5,0,2,6792,1145,662,5,Score
156,562,10,5,1005,1,6792,1145,662,5,Score
160,617,9,5,0,1,6792,1145,662,5,Score
161,634,7,5,0,0,6792,1145,662,5,Score
162,772,11,5,0,1,6792,1145,662,5,Score
163,774,7,5,0,0,6792,1145,662,5,Score
165,827,13,5,0,6,6792,1145,662,5,Score
174,1451,8,5,0,1,6792,1145,662,5,Score
175,1491,10,5,0,3,6792,1145,662,5,Score
179,1551,8,5,0,4,6792,1145,662,5,Score
181,1648,18,5,0,1,6792,1145,662,5,Score
183,1826,26,5,2762,1,6792,1145,662,5,Score
184,1828,17,5,0,3,6792,1145,662,5,Score
187,1893,10,5,0,0,6792,1145,662,5,Score
188,1904,11,5,493,0,6792,1145,662,5,Score
189,1906,7,5,455,3,6792,1145,662,5,Score
190,1907,7,5,0,0,6792,1145,662,5,Score
196,2072,13,5,520,2,6792,1145,662,5,Score
197,2077,21,5,9878,0,6792,1145,662,5,Score
200,2149,22,5,4469,0,6792,1145,662,5,Score
202,2167,11,5,709,3,6792,1145,662,5,Score
203,2172,15,5,0,3,6792,1145,662,5,Score
204,2213,15,5,3182,2,6792,1145,662,5,Score
205,2217,95,5,0,1,6792,1145,662,5,Score
206,2236,9,5,0,1,6792,1145,662,5,Score
207,2245,24,5,1475,2,6792,1145,662,5,Score
208,2247,10,5,0,1,6792,1145,662,5,Score
210,2346,26,5,0,2,6792,1145,662,5,Score
213,2456,16,5,0,4,6792,1145,662,5,Score
214,2627,10,5,0,1,6792,1145,662,5,Score
215,2911,16,5,0,3,6792,1145,662,5,Score
220,3239,15,5,0,5,6792,1145,662,5,Score
223,3424,7,5,0,5,6792,1145,662,5,Score
224,3461,7,5,0,5,6792,1145,662,5,Score
226,3576,7,5,0,2,6792,1145,662,5,Score
240,5296,24,5,0,1,6792,1145,662,5,Score
241,6235,12,5,0,6,6792,1145,662,5,Score
242,6241,17,5,0,2,6792,1145,662,5,Score
243,6278,20,5,0,3,6792,1145,662,5,Score
246,7,76,38,5808,3,133,15,1,0,Score
250,9,13,50,0,3,101,3,3,0,Score
252,371,15,34,0,2,185,27,23,0,Score
258,103418,10,34,0,0,185,27,23,0,Score
260,18,31,36,0,1,1570,173,26,1,Score
263,52,7,36,0,0,1570,173,26,1,Score
266,117,25,36,0,1,1570,173,26,1,Score
267,157,7,36,0,3,1570,173,26,1,Score
269,316,7,36,0,1,1570,173,26,1,Score
270,440,13,36,0,0,1570,173,26,1,Score
272,442,7,36,0,0,1570,173,26,1,Score
273,470,32,36,0,6,1570,173,26,1,Score
275,1003,8,36,0,0,1570,173,26,1,Score
276,1005,10,36,0,1,1570,173,26,1,Score
277,7225,12,36,2983,8,1570,173,26,1,Score
278,7357,16,36,2435,0,1570,173,26,1,Score
279,8044,13,36,482,8,1570,173,26,1,Score
280,10744,8,36,2966,2,1570,173,26,1,Score
