,0,1467810369,Mon Apr 06 22:19:45 PDT 2009,NO_QUERY,_TheSpecialOne_,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
972491,4,1832580452,Sun May 17 21:03:18 PDT 2009,NO_QUERY,TMinor91,"@starbucks For the first time today, had a skinny mocha latte. Good, but a little too much chocolate. Is the Skinny Iced Hazelnut better? "
816744,4,1551524542,Sat Apr 18 09:17:05 PDT 2009,NO_QUERY,netfairy23,"Prolly goin out 2nite, yay! Gonna see No More Goodbyes &amp; my Lou Lou! "
83615,0,1753392676,Sun May 10 01:25:01 PDT 2009,NO_QUERY,fryfan20,"I miss the Moderator on the fry forum, non of them seem to come  around anymore "
870040,4,1678267690,Sat May 02 06:07:59 PDT 2009,NO_QUERY,jhgagle,@Pastor_T meh...it's just a C5 
851345,4,1565799716,Mon Apr 20 07:34:46 PDT 2009,NO_QUERY,WLShafor,@kevinrose Tgiers Milk sounds good 
725762,0,2262405786,Sat Jun 20 22:26:59 PDT 2009,NO_QUERY,stevenwelch,"@karpathy Turned out AT&amp;T wanted a $500(!) deposit, so I'm going without until there's an unlock. "
1161958,4,1979551776,Sun May 31 03:32:10 PDT 2009,NO_QUERY,Daddys_pet,@Cozz well a girl can dream 
776949,0,2322289615,Wed Jun 24 22:21:39 PDT 2009,NO_QUERY,MitsyRamos,@iAmCWise go to arclight at da galleria in sherman oaks. they got tix. i was gon go at 10 but i got lazy 
367049,0,2049067533,Fri Jun 05 16:14:24 PDT 2009,NO_QUERY,Pownz,Instict 3-0  Canada's End Result at MLG CBus 
356841,0,2044422013,Fri Jun 05 09:20:07 PDT 2009,NO_QUERY,erkeller,rain rain go away 
1508822,4,2174719917,Sun Jun 14 23:09:41 PDT 2009,NO_QUERY,shashank_ps,is listening to Metallica blisfully unaware of his colleagues hollering at him 
720903,0,2261029627,Sat Jun 20 20:09:10 PDT 2009,NO_QUERY,Jillyo214,@Miss_NJ_1969 I've never been able to get facetime with @donniewahlberg so movies and concerts is all I get! 
783377,0,2323899761,Thu Jun 25 01:46:21 PDT 2009,NO_QUERY,ALJAGG,got the meeting this morning  yuk hate these meetings oh well here we go
944742,4,1795703794,Thu May 14 08:13:42 PDT 2009,NO_QUERY,gabriela1986,corectare la tweet-ul anterior: she SHOULD know 
